ENTRY_AC,ENTRY_TYPE,ENTRY_NAME
IPR020548,Active_site,"Fructose-1,6-bisphosphatase, active site"
IPR020610,Active_site,"Thiolase, active site"
IPR020615,Active_site,"Thiolase, acyl-enzyme intermediate active site"
IPR020625,Active_site,"Schiff base-forming aldolase, active site"
IPR020827,Active_site,"Asparaginase/glutaminase, active site 1"
IPR020830,Active_site,"Glyceraldehyde 3-phosphate dehydrogenase, active site"
IPR020861,Active_site,"Triosephosphate isomerase, active site"
IPR020878,Active_site,"Ribulose bisphosphate carboxylase, large chain, active site"
IPR020940,Active_site,"Thymidylate synthase, active site"
IPR022313,Active_site,"Phenylalanine/histidine ammonia-lyases, active site"
IPR022398,Active_site,"Peptidase S8, subtilisin, His-active site"
IPR022415,Active_site,ATP:guanido phosphotransferase active site
IPR023005,Active_site,"Nucleoside diphosphate kinase, active site"
IPR023011,Active_site,"ATP synthase, F0 complex, subunit A, active site"
IPR023013,Active_site,"N-acetyl-gamma-glutamyl-phosphate reductase, active site"
IPR023313,Active_site,"Ubiquitin-conjugating enzyme, active site"
IPR023406,Active_site,"DNA topoisomerase, type IA, active site"
IPR023411,Active_site,"Ribonuclease A, active site"
IPR023650,Active_site,"Beta-lactamase, class-A active site"
IPR023827,Active_site,"Peptidase S8, subtilisin, Asp-active site"
IPR023828,Active_site,"Peptidase S8, subtilisin, Ser-active site"
IPR024708,Active_site,Catalase active site
IPR025660,Active_site,"Cysteine peptidase, histidine active site"
IPR025661,Active_site,"Cysteine peptidase, asparagine active site"
IPR027475,Active_site,"Asparaginase/glutaminase, active site 2"
IPR029759,Active_site,Glutathione peroxidase active site
IPR030390,Active_site,"RNA methyltransferase TrmA, active site"
IPR030475,Active_site,"Ribonucleotide reductase small subunit, acitve site"
IPR030656,Active_site,"Delta-aminolevulinic acid dehydratase, active site"
IPR031158,Active_site,"Glycosyl hydrolases family 10, active site"
IPR033112,Active_site,"Phospholipase A2, aspartic acid active site"
IPR033113,Active_site,"Phospholipase A2, histidine active site"
IPR033116,Active_site,"Serine proteases, trypsin family, serine active site"
IPR033124,Active_site,"Serine carboxypeptidases, histidine active site"
IPR033126,Active_site,"Glycosyl hydrolases family 9, Asp/Glu active sites"
IPR033127,Active_site,"Ubiquitin-activating enzyme E1, Cys active site"
IPR033128,Active_site,"Adenylosuccinate synthase, active site"
IPR033129,Active_site,"Phosphoenolpyruvate carboxylase, His active site"
IPR033130,Active_site,"Ribonuclease T2, His active site 2"
IPR033134,Active_site,"Asp/Glu racemase, active site 2"
IPR033135,Active_site,"ClpP, histidine active site"
IPR033140,Active_site,"Lipase, GDXG, putative serine active site"
IPR033379,Active_site,Histidine acid phosphatase active site
IPR033524,Active_site,Leu/Phe/Val dehydrogenases active site
IPR033693,Active_site,"Pyroglutamyl peptidase I, Glu active site"
IPR033694,Active_site,"Pyroglutamyl peptidase I, Cys active site"
IPR000048,Binding_site,"IQ motif, EF-hand binding site"
IPR000222,Binding_site,"PPM-type phosphatase, divalent cation binding"
IPR000634,Binding_site,"Serine/threonine dehydratase, pyridoxal-phosphate-binding site"
IPR001216,Binding_site,"Cysteine synthase/cystathionine beta-synthase, pyridoxal-phosphate attachment site"
IPR001431,Binding_site,"Peptidase M16, zinc-binding site"
IPR001505,Binding_site,Copper centre Cu(A)
IPR001882,Binding_site,Biotin-binding site
IPR001917,Binding_site,"Aminotransferase, class-II, pyridoxal-phosphate binding site"
IPR002226,Binding_site,Catalase haem-binding site
IPR002355,Binding_site,"Multicopper oxidase, copper-binding site"
IPR003016,Binding_site,"2-oxo acid dehydrogenase, lipoyl-binding site"
IPR003952,Binding_site,"Fumarate reductase/succinate dehydrogenase, FAD-binding site"
IPR004035,Binding_site,"Endonuclease III, iron-sulphur binding site"
IPR004163,Binding_site,Coenzyme A transferase binding site
IPR004838,Binding_site,"Aminotransferases, class-I, pyridoxal-phosphate-binding site"
IPR006058,Binding_site,"2Fe-2S ferredoxin, iron-sulphur binding site"
IPR006066,Binding_site,Nitrite/sulphite reductase iron-sulphur/sirohaem-binding site
IPR013838,Binding_site,"Beta tubulin, autoregulation binding site"
IPR015887,Binding_site,"DNA glycosylase/AP lyase, zinc finger domain, DNA-binding site"
IPR016131,Binding_site,"Haemerythrin, iron-binding site"
IPR016192,Binding_site,"APOBEC/CMP deaminase, zinc-binding"
IPR017441,Binding_site,"Protein kinase, ATP binding site"
IPR017947,Binding_site,"Aryldialkylphosphatase, zinc-binding site"
IPR018064,Binding_site,"Metallothionein, vertebrate, metal binding site"
IPR018136,Binding_site,"Aconitase family, 4Fe-4S cluster binding site"
IPR018152,Binding_site,"Superoxide dismutase, copper/zinc, binding site"
IPR018220,Binding_site,"Adenylosuccinate synthase, GTP-binding site"
IPR018229,Binding_site,"Rhodopsin, retinal binding site"
IPR018246,Binding_site,"AP endonuclease 2, zinc binding site"
IPR018247,Binding_site,"EF-Hand 1, calcium-binding site"
IPR018298,Binding_site,"Adrenodoxin, iron-sulphur binding site"
IPR018301,Binding_site,"Aromatic amino acid hydroxylase, iron/copper binding site"
IPR018349,Binding_site,"Peptidase M24A, methionine aminopeptidase, subfamily 2, binding site"
IPR018506,Binding_site,"Cytochrome b5, heme-binding site"
IPR018527,Binding_site,"Rubredoxin, iron-binding site"
IPR019780,Binding_site,"Germin, manganese binding site"
IPR019793,Binding_site,Peroxidases heam-ligand binding site
IPR019798,Binding_site,"Serine hydroxymethyltransferase, pyridoxal phosphate binding site"
IPR019824,Binding_site,"Leghaemoglobin, iron-binding site"
IPR019825,Binding_site,"Legume lectin, beta chain, Mn/Ca-binding site"
IPR019833,Binding_site,"Manganese/iron superoxide dismutase, binding site"
IPR020537,Binding_site,"ATP synthase, F0 complex, subunit C, DCCD-binding site"
IPR020563,Binding_site,"Crossover junction endodeoxyribonuclease RuvC, magnesium-binding site"
IPR020578,Binding_site,"Aminotransferase class-V, pyridoxal-phosphate binding site"
IPR020583,Binding_site,"Inositol monophosphatase, metal-binding site"
IPR020622,Binding_site,"Alanine racemase, pyridoxal-phosphate attachment site"
IPR020789,Binding_site,"RNA polymerases, subunit N, zinc binding site"
IPR020826,Binding_site,Transketolase binding site
IPR020833,Binding_site,"Lipoxygenase, iron binding site"
IPR020847,Binding_site,"AP endonuclease 1, binding site"
IPR020855,Binding_site,"Ureohydrolase, manganese-binding site"
IPR021115,Binding_site,Pyridoxal-phosphate binding site
IPR022407,Binding_site,"Oxidoreductase, molybdopterin binding site"
IPR022419,Binding_site,"Porphobilinogen deaminase, dipyrromethane cofactor binding site"
IPR022653,Binding_site,"Orn/DAP/Arg decarboxylase 2, pyridoxal-phosphate binding site"
IPR023418,Binding_site,"Transthyretin, thyroxine binding site"
IPR023615,Binding_site,"Cytochrome c oxidase, subunit I, copper-binding site"
IPR025662,Binding_site,"Sigma-54 interaction domain, ATP-binding site 1"
IPR025943,Binding_site,"Sigma-54 interaction domain, ATP-binding site 2"
IPR027430,Binding_site,Visual pigments (opsins) retinal binding site
IPR027467,Binding_site,"Molybdopterin oxidoreductase, molybdopterin cofactor binding site"
IPR028871,Binding_site,"Blue (type 1) copper protein, binding site"
IPR029754,Binding_site,Urease nickel binding site
IPR000047,Conserved_site,Helix-turn-helix motif
IPR000049,Conserved_site,"Electron transfer flavoprotein, beta-subunit, conserved site"
IPR000059,Conserved_site,"NUDIX hydrolase, NudL, conserved site"
IPR000111,Conserved_site,"Glycoside hydrolase family 27/36, conserved site"
IPR000203,Conserved_site,GPS motif
IPR000291,Conserved_site,"D-alanine--D-alanine ligase/VANA/B/C, conserved site"
IPR000318,Conserved_site,"Nitrogenase component 1, conserved site"
IPR000319,Conserved_site,"Aspartate-semialdehyde dehydrogenase, conserved site"
IPR000385,Conserved_site,"MoaA/NifB/PqqE, iron-sulphur binding, conserved site"
IPR000399,Conserved_site,"TPP-binding enzyme, conserved site"
IPR000445,Conserved_site,Helix-hairpin-helix motif
IPR000629,Conserved_site,"ATP-dependent RNA helicase DEAD-box, conserved site"
IPR000808,Conserved_site,"Iron-sulfur cluster carrier protein-like, conserved site"
IPR000827,Conserved_site,"CC chemokine, conserved site"
IPR000842,Conserved_site,"Phosphoribosyl pyrophosphate synthetase, conserved site"
IPR000952,Conserved_site,"AB hydrolase 4, conserved site"
IPR000985,Conserved_site,"Legume lectin, alpha chain, conserved site"
IPR001014,Conserved_site,"Large ribosomal subunit protein uL23, conserved site"
IPR001131,Conserved_site,"Peptidase M24B, X-Pro dipeptidase/aminopeptidase P, conserved site"
IPR001196,Conserved_site,"Large ribosomal subunit protein uL15, conserved site"
IPR001261,Conserved_site,"ArgE/DapE/ACY1/CPG2/YscS, conserved site"
IPR001295,Conserved_site,"Dihydroorotate dehydrogenase, conserved site"
IPR001363,Conserved_site,"Proteinase inhibitor I25C, fetuin, conserved site"
IPR001412,Conserved_site,"Aminoacyl-tRNA synthetase, class I, conserved site"
IPR001426,Conserved_site,"Tyrosine-protein kinase, receptor class V, conserved site"
IPR001468,Conserved_site,"Indole-3-glycerol phosphate synthase, conserved site"
IPR001479,Conserved_site,"Quinoprotein dehydrogenase, conserved site"
IPR001484,Conserved_site,"Pyrokinin, conserved site"
IPR001692,Conserved_site,"Histidinol dehydrogenase, conserved site"
IPR001827,Conserved_site,"Homeobox protein, antennapedia type, conserved site"
IPR001949,Conserved_site,"NADH:ubiquinone oxidoreductase, 51kDa subunit, conserved site"
IPR001989,Conserved_site,"Radical-activating enzyme, conserved site"
IPR002011,Conserved_site,"Tyrosine-protein kinase, receptor class II, conserved site"
IPR002012,Conserved_site,Gonadotropin-releasing hormone
IPR002034,Conserved_site,"Alpha-isopropylmalate/homocitrate synthase, conserved site"
IPR002047,Conserved_site,"Adipokinetic hormone, conserved site"
IPR002052,Conserved_site,"DNA methylase, N-6 adenine-specific, conserved site"
IPR002173,Conserved_site,"Carbohydrate/purine kinase, PfkB, conserved site"
IPR002194,Conserved_site,"Chaperonin TCP-1, conserved site"
IPR002195,Conserved_site,"Dihydroorotase, conserved site"
IPR002328,Conserved_site,"Alcohol dehydrogenase, zinc-type, conserved site"
IPR002358,Conserved_site,"Large ribosomal subunit protein uL6, conserved site"
IPR002359,Conserved_site,"Large ribosomal subunit protein uL6, conserved site-2"
IPR002363,Conserved_site,"Large ribosomal subunit protein uL10, conserved site, bacteria"
IPR002364,Conserved_site,"Quinone oxidoreductase/zeta-crystallin, conserved site"
IPR002365,Conserved_site,"Terpene synthase, conserved site"
IPR002464,Conserved_site,"DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site"
IPR003006,Conserved_site,"Immunoglobulin/major histocompatibility complex, conserved site"
IPR003043,Conserved_site,"Uroporphiryn-III C-methyltransferase, conserved site"
IPR003109,Conserved_site,GoLoco motif
IPR003527,Conserved_site,"Mitogen-activated protein (MAP) kinase, conserved site"
IPR003528,Conserved_site,"Long hematopoietin receptor, single chain, conserved site"
IPR003903,Conserved_site,Ubiquitin interacting motif
IPR003960,Conserved_site,"ATPase, AAA-type, conserved site"
IPR004001,Conserved_site,"Actin, conserved site"
IPR004027,Conserved_site,SEC-C motif
IPR004036,Conserved_site,"Endonuclease III-like, conserved site-2"
IPR004037,Conserved_site,"Large ribosomal subunit protein eL8-like, conserved site"
IPR004840,Conserved_site,"Amino acid permease, conserved site"
IPR004845,Conserved_site,"Type II secretion system protein GspD, conserved site"
IPR005108,Conserved_site,HELP motif
IPR005486,Conserved_site,"Glucokinase regulatory protein, conserved site"
IPR005825,Conserved_site,"Large ribosomal subunit protein uL24, conserved site"
IPR005829,Conserved_site,"Sugar transporter, conserved site"
IPR005836,Conserved_site,"ADP-glucose pyrophosphorylase, conserved site"
IPR005853,Conserved_site,"Omega-agatoxin type II/III, conserved site"
IPR006012,Conserved_site,"Syntaxin/epimorphin, conserved site"
IPR006061,Conserved_site,"Solute-binding family 1, conserved site"
IPR006074,Conserved_site,"GTP1/OBG, conserved site"
IPR006089,Conserved_site,"Acyl-CoA dehydrogenase, conserved site"
IPR006105,Conserved_site,"Cereal seed allergen/trypsin and alpha-amylase inhibitor, conserved site"
IPR006118,Conserved_site,"Recombinase, conserved site"
IPR006126,Conserved_site,"Staphylococcal enterotoxin/Streptococcal pyrogenic exotoxin, conserved site"
IPR006180,Conserved_site,"3-hydroxyacyl-CoA dehydrogenase, conserved site"
IPR006203,Conserved_site,"GHMP kinase, ATP-binding, conserved site"
IPR006216,Conserved_site,"Photosystem II cytochrome b559, conserved site"
IPR006224,Conserved_site,"Pseudouridine synthase, RluA-like, conserved site"
IPR006311,Conserved_site,"Twin-arginine translocation pathway, signal sequence"
IPR006594,Conserved_site,LIS1 homology motif
IPR006653,Conserved_site,"Tryptophan synthase, beta chain, conserved site"
IPR006655,Conserved_site,"Molybdopterin oxidoreductase, prokaryotic, conserved site"
IPR007121,Conserved_site,"RNA polymerase, beta subunit, conserved site"
IPR008150,Conserved_site,"Phytoene dehydrogenase, bacterial-type, conserved site"
IPR008193,Conserved_site,"DNA-directed RNA polymerase Rpb11, 13-16kDa subunit, conserved site"
IPR008284,Conserved_site,"Molybdenum cofactor biosynthesis, conserved site"
IPR008918,Conserved_site,"Helix-hairpin-helix motif, class 2"
IPR009818,Conserved_site,PAM2 motif
IPR010917,Conserved_site,"TonB-dependent receptor, conserved site"
IPR011062,Conserved_site,"Contryphan, conserved site"
IPR011142,Conserved_site,"Spider toxin CSTX, Knottin scaffold conserved site"
IPR012321,Conserved_site,"Conotoxin, omega-type, conserved site"
IPR012323,Conserved_site,"Cyclotide, bracelet, conserved site"
IPR012324,Conserved_site,"Cyclotide, moebius, conserved site"
IPR013000,Conserved_site,"Large ribosomal subunit protein uL4, eukaryotic/archaeal, conserved site"
IPR013006,Conserved_site,"Antimicrobial peptide, C6 type, conserved site"
IPR013032,Conserved_site,"EGF-like, conserved site"
IPR013055,Conserved_site,"Tachykinin/Neurokinin-like, conserved site"
IPR013140,Conserved_site,"Huwentoxin, conserved site-1"
IPR013141,Conserved_site,"Conotoxin-I, conserved site"
IPR013152,Conserved_site,"Gastrin/cholecystokinin, conserved site"
IPR013373,Conserved_site,"Flagellin/pilin, N-terminal site, archaea"
IPR013734,Conserved_site,Transcription factor Nrm1/Whi5
IPR013793,Conserved_site,"Porin, Gram-negative type, conserved site"
IPR013852,Conserved_site,"Translation elongation factor P/YeiP, conserved site"
IPR014029,Conserved_site,"NADH:ubiquinone oxidoreductase, 49kDa subunit, conserved site"
IPR014034,Conserved_site,"Ferritin, conserved site"
IPR014762,Conserved_site,"DNA mismatch repair, conserved site"
IPR015869,Conserved_site,"Transcription antitermination protein, NusG, bacteria, conserved site"
IPR015875,Conserved_site,"IMP dehydrogenase / GMP reductase, conserved site"
IPR015884,Conserved_site,"Malic enzyme, conserved site"
IPR015892,Conserved_site,"Carbonic anhydrase, prokaryotic-like, conserved site"
IPR015910,Conserved_site,"Inosine/uridine-preferring nucleoside hydrolase, conserved site"
IPR015911,Conserved_site,"Phosphoglycerate kinase, conserved site"
IPR015912,Conserved_site,"Phosphofructokinase, conserved site"
IPR015994,Conserved_site,"Phosphoenolpyruvate carboxykinase (ATP), conserved site"
IPR016050,Conserved_site,"Proteasome beta-type subunit, conserved site"
IPR016059,Conserved_site,"DNA ligase, ATP-dependent, conserved site"
IPR016066,Conserved_site,"Alpha-D-phosphohexomutase, conserved site"
IPR016157,Conserved_site,"Cullin, conserved site"
IPR016160,Conserved_site,"Aldehyde dehydrogenase, cysteine active site"
IPR017703,Conserved_site,YgfZ/GCV conserved site
IPR017860,Conserved_site,"Peptidase M22, conserved site"
IPR017866,Conserved_site,"Succinyl-CoA synthetase, beta subunit, conserved site"
IPR017870,Conserved_site,"FeS cluster insertion, C-terminal, conserved site"
IPR017871,Conserved_site,"ABC transporter-like, conserved site"
IPR017872,Conserved_site,"Pyrimidine-nucleoside phosphorylase, conserved site"
IPR017900,Conserved_site,"4Fe-4S ferredoxin, iron-sulphur binding, conserved site"
IPR017907,Conserved_site,"Zinc finger, RING-type, conserved site"
IPR017925,Conserved_site,Dihydrofolate reductase conserved site
IPR017937,Conserved_site,"Thioredoxin, conserved site"
IPR017948,Conserved_site,"Transforming growth factor beta, conserved site"
IPR017949,Conserved_site,"Thaumatin, conserved site"
IPR017953,Conserved_site,"Carbohydrate kinase, predicted, conserved site"
IPR017958,Conserved_site,"Glutamyl-tRNA(Gln) amidotransferase, subunit B, conserved site"
IPR017964,Conserved_site,"DNA-directed DNA polymerase, family B, conserved site"
IPR017967,Conserved_site,"HMG box A DNA-binding domain, conserved site"
IPR017968,Conserved_site,"Acylphosphatase, conserved site"
IPR017969,Conserved_site,"Heavy-metal-associated, conserved site"
IPR017970,Conserved_site,"Homeobox, conserved site"
IPR017972,Conserved_site,"Cytochrome P450, conserved site"
IPR017974,Conserved_site,"Claudin, conserved site"
IPR017975,Conserved_site,"Tubulin, conserved site"
IPR017985,Conserved_site,"DNA methylase, N-4 cytosine-specific, conserved site"
IPR017988,Conserved_site,Ribosome-inactivating protein conserved site
IPR017990,Conserved_site,"Connexin, conserved site"
IPR018000,Conserved_site,"Neurotransmitter-gated ion-channel, conserved site"
IPR018016,Conserved_site,"Nucleoside phosphorylase, conserved site"
IPR018030,Conserved_site,"Fimbrial membrane usher, conserved site"
IPR018038,Conserved_site,"Large ribosomal subunit protein uL30, conserved site"
IPR018039,Conserved_site,"Intermediate filament protein, conserved site"
IPR018042,Conserved_site,"Aspartate kinase, conserved site"
IPR018045,Conserved_site,"Sulphate anion transporter, conserved site"
IPR018046,Conserved_site,"Pili assembly chaperone, conserved site"
IPR018047,Conserved_site,"Ammonium transporter, conserved site"
IPR018048,Conserved_site,"CXC chemokine, conserved site"
IPR018062,Conserved_site,"HTH domain AraC-type, conserved site"
IPR018063,Conserved_site,"SAM-dependent methyltransferase RsmI, conserved site"
IPR018065,Conserved_site,"Large ribosomal subunit protein eL34, conserved site"
IPR018066,Conserved_site,"Tubby, C-terminal, conserved site"
IPR018067,Conserved_site,"Protein phosphatase 2A regulatory subunit PR55, conserved site"
IPR018073,Conserved_site,"Proteinase inhibitor I25, cystatin, conserved site"
IPR018078,Conserved_site,"DNA-binding, RecF, conserved site"
IPR018079,Conserved_site,"Small ribosomal subunit protein uS4, conserved site"
IPR018086,Conserved_site,"NADH:ubiquinone oxidoreductase, subunit 1, conserved site"
IPR018087,Conserved_site,"Glycoside hydrolase, family 5, conserved site"
IPR018091,Conserved_site,"Phosphoenolpyruvate carboxykinase, GTP-utilising, conserved site"
IPR018093,Conserved_site,"BCCT transporter, conserved site"
IPR018095,Conserved_site,"Thymidylate kinase, conserved site"
IPR018097,Conserved_site,"EGF-like calcium-binding, conserved site"
IPR018099,Conserved_site,"Purine phosphorylase, family 2, conserved site"
IPR018101,Conserved_site,"Translation elongation factor Ts, conserved site"
IPR018102,Conserved_site,"Small ribosomal subunit protein uS11, conserved site"
IPR018103,Conserved_site,"Translationally controlled tumour protein, conserved site"
IPR018104,Conserved_site,"Translation initiation factor 1A (eIF-1A), conserved site"
IPR018107,Conserved_site,"Sodium:dicarboxylate symporter, conserved site"
IPR018109,Conserved_site,"Folylpolyglutamate synthetase, conserved site"
IPR018110,Conserved_site,"Mandelate racemase/muconate lactonizing enzyme, conserved site"
IPR018116,Conserved_site,"Somatotropin hormone, conserved site"
IPR018122,Conserved_site,Fork head domain conserved site1
IPR018124,Conserved_site,"Calreticulin/calnexin, conserved site"
IPR018130,Conserved_site,"Small ribosomal subunit protein uS2, conserved site"
IPR018134,Conserved_site,"Lysosome-associated membrane glycoprotein, conserved site"
IPR018151,Conserved_site,"Transcription elongation factor, GreA/GreB, conserved site"
IPR018161,Conserved_site,"Wnt protein, conserved site"
IPR018168,Conserved_site,"Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6, conserved site"
IPR018171,Conserved_site,"Peptidyl-tRNA hydrolase, conserved site"
IPR018181,Conserved_site,"Heat shock protein 70, conserved site"
IPR018186,Conserved_site,"Transcription factor, T-box, conserved site"
IPR018189,Conserved_site,"Phosphoglucose isomerase, conserved site"
IPR018192,Conserved_site,"Small ribosomal subunit protein uS5, N-terminal, conserved site"
IPR018198,Conserved_site,"ATP phosphoribosyltransferase, conserved site"
IPR018199,Conserved_site,"Small ribosomal subunit protein eS4, N-terminal, conserved site"
IPR018200,Conserved_site,"Ubiquitin specific protease, conserved site"
IPR018206,Conserved_site,"Electron transfer flavoprotein subunit alpha, conserved site"
IPR018211,Conserved_site,"Alcohol dehydrogenase, iron-type, conserved site"
IPR018214,Conserved_site,"Glutamyl-tRNA reductase, conserved site"
IPR018216,Conserved_site,"Cathelicidin, conserved site"
IPR018219,Conserved_site,Thiol peroxidase conserved site
IPR018223,Conserved_site,"Argininosuccinate synthase, conserved site"
IPR018228,Conserved_site,"Deoxyribonuclease, TatD-related, conserved site"
IPR018230,Conserved_site,"BUD31/G10-related, conserved site"
IPR018232,Conserved_site,"Glycoside hydrolase, family 37, conserved site"
IPR018234,Conserved_site,"GTP cyclohydrolase I, conserved site"
IPR018236,Conserved_site,"SAICAR synthetase, conserved site"
IPR018237,Conserved_site,"Myelin proteolipid protein PLP, conserved site"
IPR018244,Conserved_site,"Allergen V5/Tpx-1-related, conserved site"
IPR018251,Conserved_site,"Crustacean neurohormone, conserved site"
IPR018252,Conserved_site,"Annexin repeat, conserved site"
IPR018253,Conserved_site,"DnaJ domain, conserved site"
IPR018254,Conserved_site,"Large ribosomal subunit protein uL29, conserved site"
IPR018256,Conserved_site,"Large ribosomal subunit protein eL13, conserved site"
IPR018257,Conserved_site,"Large ribosomal subunit protein bL19, conserved site"
IPR018258,Conserved_site,"Large ribosomal subunit protein bL21, conserved site"
IPR018260,Conserved_site,"Large ribosomal subunit protein uL22, conserved site"
IPR018261,Conserved_site,"Large ribosomal subunit protein bL27, conserved site"
IPR018262,Conserved_site,"Large ribosomal subunit protein eL27, conserved site"
IPR018263,Conserved_site,"Large ribosomal subunit protein eL32, conserved site"
IPR018264,Conserved_site,"Large ribosomal subunit protein bL33, conserved site"
IPR018265,Conserved_site,"Large ribosomal subunit protein bL35, conserved site"
IPR018268,Conserved_site,"Small ribosomal subunit protein uS10, conserved site"
IPR018269,Conserved_site,"Small ribosomal subunit protein uS13, conserved site"
IPR018271,Conserved_site,"Small ribosomal subunit protein uS14, conserved site"
IPR018273,Conserved_site,"Small ribosomal subunit protein eS17, conserved site"
IPR018275,Conserved_site,"Small ribosomal subunit protein bS18, conserved site"
IPR018277,Conserved_site,"Small ribosomal subunit protein eS19, conserved site"
IPR018278,Conserved_site,"Small ribosomal subunit protein bS21, conserved site"
IPR018279,Conserved_site,"Small ribosomal subunit protein eS21, conserved site"
IPR018280,Conserved_site,"Small ribosomal subunit protein uS3, conserved site"
IPR018281,Conserved_site,"Small ribosomal subunit protein eS1, conserved site"
IPR018283,Conserved_site,"Small ribosomal subunit protein eS8, conserved site"
IPR018294,Conserved_site,"4-diphosphocytidyl-2C-methyl-D-erythritol synthase, conserved site"
IPR018296,Conserved_site,"Acid phosphatase, class A, bacterial, conserved site"
IPR018300,Conserved_site,"Aminotransferase, class IV, conserved site"
IPR018312,Conserved_site,"Chromosomal replication control, initiator DnaA, conserved site"
IPR018314,Conserved_site,"RsmB/NOL1/NOP2-like, conserved site"
IPR018321,Conserved_site,"Glucosamine-6-phosphate isomerase, conserved site"
IPR018335,Conserved_site,"Transcription regulator HTH, Crp-type, conserved site"
IPR018336,Conserved_site,"Ribonuclease PH, conserved site"
IPR018338,Conserved_site,"Carbonic anhydrase, alpha-class, conserved site"
IPR018354,Conserved_site,"Snake toxin, conserved site"
IPR018356,Conserved_site,"Transcription regulator, HTH DeoR-type, conserved site"
IPR018357,Conserved_site,"Hexapeptide transferase, conserved site"
IPR018358,Conserved_site,"Disintegrin, conserved site"
IPR018361,Conserved_site,"Caveolin, conserved site"
IPR018363,Conserved_site,"CD59 antigen, conserved site"
IPR018368,Conserved_site,"ClpA/B, conserved site 1"
IPR018369,Conserved_site,"Chaperonin GroES, conserved site"
IPR018370,Conserved_site,"Chaperonin Cpn60, conserved site"
IPR018375,Conserved_site,"Coproporphyrinogen III oxidase, conserved site"
